Name,City,Cuisine Style,Ranking,Rating,Number of Reviews,Reviews_WD,Reviews
Le Sot Ly Laisse,Paris,"French, European",622,45,216,"Exquisite food, Little treasure, 12/11/2017, 11/25/2017","Exquisite food, Little treasure, "
Gambino,Paris,"Italian, Pizza, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",623,4,421,"Very Good No-Nonsense Italian Joint, Only issue is I ate too much, 10/19/2017, 10/18/2017","Very Good No-Nonsense Italian Joint, Only issue is I ate too much, "
Le Potager du Marais,Paris,"French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",624,4,649,"Great food and friendly service, Nice food but overcrowded, 01/05/2018, 11/25/2017","Great food and friendly service, Nice food but overcrowded, "
Pamela Popo,Paris,"French, European, Vegetarian Friendly",625,45,389,"A great recommendation, Awesome, 11/25/2017, 10/17/2017","A great recommendation, Awesome, "
Le Potager du Pere Thierry,Paris,"French, Vegetarian Friendly",626,45,327,"Sublime, Eat here, 11/22/2017, 10/25/2017","Sublime, Eat here, "
Happy Nouilles,Paris,"Chinese, Asian, Soups, Vegetarian Friendly, Vegan Options",627,4,274,"Focus is definitely on the noodles, Great meal in Paris, 12/25/2017, 10/12/2017","Focus is definitely on the noodles, Great meal in Paris, "
Il Carpaccio - Le Royal Monceau,Paris,"Italian, Mediterranean, European, Vegetarian Friendly",628,45,530,"Enjoyed everything, Excellent Anniversary Dinner, 12/22/2017, 11/12/2017","Enjoyed everything, Excellent Anniversary Dinner, "
Mom,Paris,"French, European, Vegetarian Friendly, Vegan Options",629,4,478,"Great Steak and good service, Sunday lunch, 05/23/2017, 04/16/2017","Great Steak and good service, Sunday lunch, "
Le Refuge des Moines,Paris,"French, European, Wine Bar, Vegetarian Friendly",630,45,250,"Definitely one of my favourite restaurants, Too overpriced; food salty and tough, 04/24/2017, 05/31/2017","Definitely one of my favourite restaurants, Too overpriced; food salty and tough, "
Le Relais Plaza,Paris,"French, European, Vegetarian Friendly, Gluten Free Options",631,45,355,"Exceptional moment, Wonderful place for lunch, 12/30/2017, 12/23/2017","Exceptional moment, Wonderful place for lunch, "
IZU,Paris,"Japanese, Sushi, Asian, Vegetarian Friendly",632,45,243,"Nice food, Delicious food, 10/05/2017, 09/23/2017","Nice food, Delicious food, "
Il Posto,Paris,"Italian, Pizza, Mediterranean, European, Vegetarian Friendly, Vegan Options",633,4,319,"Truly Italian pizza, Lunchtime visit, 09/08/2017, 12/15/2017","Truly Italian pizza, Lunchtime visit, "
Le Mazenay,Paris,"French, European, Delicatessen, Vegetarian Friendly, Vegan Options",634,45,151,"A real find near Beaubourg, Exceptional food, 12/27/2017, 12/09/2017","A real find near Beaubourg, Exceptional food, "
Crepe Avenue,Paris,"French, European, Vegetarian Friendly",635,45,265,"Simply excellent, Nice place off the hectic of the bigger an, 01/07/2018, 09/27/2017","Simply excellent, Nice place off the hectic of the bigger an, "
AU VIEUX COMPTOIR,Paris,"French, European, Vegetarian Friendly",636,45,575,"Tasty beef borguine, Great venue for traditional food lovers, 01/05/2018, 12/13/2017","Tasty beef borguine, Great venue for traditional food lovers, "
Roca,Paris,"French, European",637,45,298,"Returning after more than a year and again, Very Nice but expensive, 12/18/2017, 07/09/2017","Returning after more than a year and again, Very Nice but expensive, "
Publisher,Paris,"Irish, Bar, European, British, Pub, Vegetarian Friendly",638,45,202,"We were made so welcome by the guys here, Great Atmosphere and Service, 10/02/2017, 07/22/2017","We were made so welcome by the guys here, Great Atmosphere and Service, "
Mio Posto,Paris,"Italian, Pizza, Mediterranean, European, Vegetarian Friendly, Vegan Options",639,45,159,"Molto buono, Great dinner spot, 11/27/2017, 09/13/2017","Molto buono, Great dinner spot, "
Pretty Damn Good,Paris,"American, Vegetarian Friendly",640,45,478,"Great Dinner, Dont miss this one, 11/19/2017, 11/10/2017","Great Dinner, Dont miss this one, "
Le Relais de lEntrecote,Paris,"Steakhouse, European",641,4,2582,"Very nice Steak and Fries, Very Good, 01/04/2018, 12/29/2017","Very nice Steak and Fries, Very Good, "
Comptoir Montevideo,Paris,"Latin, South American, Vegetarian Friendly",642,45,86,"All great, Heaven, 09/06/2017, 08/22/2017","All great, Heaven, "
HD Diner Saint-Michel,Paris,"American, Vegetarian Friendly, Vegan Options",643,35,548,"Adorable diner with delicious milkshakes, Unpleasant waitress, 12/28/2017, 10/29/2017","Adorable diner with delicious milkshakes, Unpleasant waitress, "
Ripaille,Paris,"French, European",644,45,227,"A great find and great atmosphere, Unusual, 06/23/2016, 03/29/2016","A great find and great atmosphere, Unusual, "
aki,Paris,"Japanese, Asian, Vegetarian Friendly, Vegan Options",645,4,697,"Good and quite cheap, Aki, 12/09/2017, 11/16/2017","Good and quite cheap, Aki, "
Le Petit Fer a Cheval,Paris,"French, Bar, European",646,4,374,"My kids loved this place, Excellent once we got a table, 01/04/2018, 11/07/2017","My kids loved this place, Excellent once we got a table, "
Bollynan Grands Boulevards,Paris,"Indian, Vegetarian Friendly, Vegan Options, Gluten Free Options",647,45,129,"Good enough in delivery, Love this place, 10/26/2017, 10/16/2017","Good enough in delivery, Love this place, "
Black dog,Paris,"French, Barbecue, Steakhouse, Bar, Argentinean",648,45,238,"Wow, Nice surprise, 09/22/2017, 08/04/2017","Wow, Nice surprise, "
Phillipe Excoffier,Paris,"French, European",649,45,358,"Real Parisian experience, Always a good place to go to, 01/06/2018, 12/22/2017","Real Parisian experience, Always a good place to go to, "
Le Pre Verre,Paris,"French, European, Fusion, Vegetarian Friendly",650,4,793,"Lovely Bistro, Classic French Bistro, 12/31/2017, 12/22/2017","Lovely Bistro, Classic French Bistro, "
Bon,Paris,"Asian, Thai, Vegetarian Friendly, Vegan Options",651,4,570,"Fancy asian place, nice food - average service, 10/25/2017, 10/20/2017","Fancy asian place, nice food - average service, "
Le Verre Galant,Paris,"French, European, Vegetarian Friendly",652,4,476,"Lovely duck, Worth the visit? You be the judge, 03/26/2017, 09/10/2017","Lovely duck, Worth the visit? You be the judge, "
Marche Ou Crepe,Paris,Vegetarian Friendly,653,5,39,"The best in Paris, Cracking Crepe, 12/22/2017, 11/04/2017","The best in Paris, Cracking Crepe, "
Silk & Spice,Paris,"Asian, Thai, Vegetarian Friendly",654,4,384,"Very good, Perfect, 12/17/2017, 05/19/2017","Very good, Perfect, "
Cafe Med,Paris,"French, European, Vegetarian Friendly",655,4,475,"New Year’s Eve dinner, Delicious prix fixe menu, 01/06/2018, 11/30/2017","New Year’s Eve dinner, Delicious prix fixe menu, "
Palais du Bonheur,Paris,"Chinese, Asian, Thai, Singaporean, Vegetarian Friendly, Vegan Options",656,45,187,"A nice place to enjoy Chinese Food, Amazing discovery, 11/12/2017, 11/06/2017","A nice place to enjoy Chinese Food, Amazing discovery, "
Chez Denise,Paris,"French, European",657,4,633,"Old School Steak Palace, Real French Food, 12/31/2017, 12/26/2017","Old School Steak Palace, Real French Food, "
RESTAURANT MANDOOBAR,Paris,"Asian, Korean, Vegetarian Friendly",658,45,192,"Tasty dumplings, very fresh tartar, Such a disappointment , 06/04/2017, 10/19/2016","Tasty dumplings, very fresh tartar, Such a disappointment , "
Il Modigliani,Paris,"Italian, European, Vegetarian Friendly",659,45,224,"Beautiful Food, Great and friendly place A must go, 01/07/2018, 01/02/2018","Beautiful Food, Great and friendly place A must go, "
La Brasserie Thai,Paris,"Thai, Vegetarian Friendly",660,5,57,"Delicious , Tasty Thai, 01/07/2018, 11/15/2017","Delicious , Tasty Thai, "
Istr,Paris,"French, Seafood, European, Contemporary",661,45,72,"My bar, Perfection, 10/03/2017, 10/02/2017","My bar, Perfection, "
Restaurant Mumi,Paris,"French, European, Mediterranean, Vegetarian Friendly",662,5,45,"Amazing, Amazing discovery, 01/06/2018, 12/22/2017","Amazing, Amazing discovery, "
Pizzawawa,Paris,"Italian, Pizza, European, Vegetarian Friendly, Vegan Options",663,4,302,"Good pizza in centre of Paris, Tasty ,simple restaurant, 09/21/2017, 09/06/2017","Good pizza in centre of Paris, Tasty ,simple restaurant, "
Mamma Primi,Paris,"Italian, Mediterranean, European, Vegetarian Friendly",664,4,461,"Great atmosphere and food, Rustique great Italian with Strange que sy, 01/04/2018, 12/16/2017","Great atmosphere and food, Rustique great Italian with Strange que sy, "
Blend Hamburger Argout,Paris,"French, American, Fast Food, Vegetarian Friendly",665,4,792,"Well done, Great gourmet burgers in Paris, 12/29/2017, 05/13/2017","Well done, Great gourmet burgers in Paris, "
Moonshiner,Paris,"Italian, Pizza",666,4,311,"A unique hangout, Sort of a speak-easy, 11/06/2017, 09/12/2017","A unique hangout, Sort of a speak-easy, "
7eme vin,Paris,"French, European, Vegetarian Friendly",667,45,832,"Great place for dinner in rue Cler area, Cheery bistro by Ecole Militaire, 12/22/2017, 11/10/2017","Great place for dinner in rue Cler area, Cheery bistro by Ecole Militaire, "
La Vache Dans Les Vignes,Paris,"French, European, Wine Bar",668,45,109,"Spot if you like cheese and wine, Nice cheese and wine -experience, 01/06/2018, 12/05/2017","Spot if you like cheese and wine, Nice cheese and wine -experience, "
Bissac,Paris,"French, European, Vegetarian Friendly, Gluten Free Options",669,45,380,"Impressed, Nice surprise, 12/03/2017, 10/22/2017","Impressed, Nice surprise, "
Geoffroy lOlive,Paris,"Italian, Pizza, European, Vegetarian Friendly, Vegan Options",670,45,331,"Amazing food, Great food, 11/08/2017, 11/08/2017","Amazing food, Great food, "
Huitres et Saumons de Passy,Paris,"French, Seafood, European, Vegetarian Friendly",671,45,199,"Lovely place, Perfect lightseafood lunch in Passy, 12/30/2017, 12/28/2017","Lovely place, Perfect lightseafood lunch in Passy, "
Prik Thai,Paris,"Gastropub, Asian, Thai, Vegetarian Friendly, Vegan Options",672,45,185,"Awesome Thai food, Worth a stop, 07/16/2017, 05/04/2017","Awesome Thai food, Worth a stop, "
Hank Pizza,Paris,"Italian, Pizza, Fast Food, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",673,45,149,"Good Vegan, Probably the best vegan pizza in France, 01/07/2018, 12/26/2017","Good Vegan, Probably the best vegan pizza in France, "
Candelma,Paris,"French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",674,45,135,"Fantastic, Friendly Reataurant, Absolute crepe, 01/07/2018, 12/27/2017","Fantastic, Friendly Reataurant, Absolute crepe, "
Antoine par Thibault Sombardier,Paris,"French, Contemporary",675,45,371,"Pretty good dinner, A special occasion made memorable, 12/19/2017, 10/25/2017","Pretty good dinner, A special occasion made memorable, "
Le Ciel de Paris,Paris,"French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",676,4,3138,"Wonderfull, Nice for a special occassion, 12/28/2017, 09/28/2017","Wonderfull, Nice for a special occassion, "
Don Giovanni,Paris,"Italian, Mediterranean, European, Vegetarian Friendly",677,45,231,"The Best, simply the Best, Last and best meal we had in Paris, 12/30/2017, 12/28/2017","The Best, simply the Best, Last and best meal we had in Paris, "
Le Sirocco,Paris,"African, Moroccan, Mediterranean, Middle Eastern, Vegetarian Friendly, Halal",678,45,224,"Delicious Food, Lovely food & atmospheric, 12/21/2017, 12/02/2017","Delicious Food, Lovely food & atmospheric, "
Miushi - Bistrot dAsie,Paris,"Sushi, Asian, Fusion, Japanese, Vegetarian Friendly",679,45,196,"Good lunch, Girls weekend, 11/28/2017, 11/26/2017","Good lunch, Girls weekend, "
La Table dAligre,Paris,"French, Seafood",680,45,437,"Excellent lunch, Great seafood, 11/27/2017, 10/28/2017","Excellent lunch, Great seafood, "
Le Plomb du Cantal,Paris,"French, European",681,4,1385,"Good food, however a bit too much food, Very popular, good food, 12/03/2017, 10/17/2017","Good food, however a bit too much food, Very popular, good food, "
Le Relais de lEntrecote,Paris,"French, Steakhouse, European",682,4,1970,"Good, Good steak, done to perfection and best fr, 01/05/2018, 01/04/2018","Good, Good steak, done to perfection and best fr, "
Vertigo,Paris,"French, Mediterranean, European, Vegetarian Friendly",683,45,152,"A hidden Paris Treasure, Fantastic food, 09/09/2017, 06/22/2017","A hidden Paris Treasure, Fantastic food, "
La Creperie de Josselin,Paris,"French, European, Vegetarian Friendly",684,4,1459,"Sympa, Satisfying, Easy on the Wallet, Loved it, 12/20/2017, 12/20/2017","Sympa, Satisfying, Easy on the Wallet, Loved it, "
Chez Mademoiselle Paris-Astana,Paris,"Russian, Eastern European, Vegetarian Friendly",685,45,216,"Not perfect experience, Home-style cooking, 12/11/2016, 11/01/2016","Not perfect experience, Home-style cooking, "
Le Gros 7,Paris,"Mediterranean, European, Vegetarian Friendly",686,45,160,"You will love it- A pure moment of pleasur, Authentic Italian, 01/07/2018, 06/25/2017","You will love it- A pure moment of pleasur, Authentic Italian, "
Chez Frezet,Paris,"French, European, Vegetarian Friendly",687,4,430,"Very good French restaurant- great cook, sophisticated tastes, 10/22/2017, 09/25/2017","Very good French restaurant- great cook, sophisticated tastes, "
Le Cornichon,Paris,"French, European",688,45,265,"Excellent dinner, I will come back, 12/12/2017, 12/06/2017","Excellent dinner, I will come back, "
Simonetta Restaurant,Paris,"Italian, Pizza, Vegetarian Friendly, Vegan Options",689,45,124,"Delicious pizza, ASTOUNDINGLY Good, 12/22/2017, 11/07/2017","Delicious pizza, ASTOUNDINGLY Good, "
Jeongane,Paris,"Asian, Korean, Vegetarian Friendly",690,5,58,"Absolutely amazing, Non-barbecue dishes were run of the mill, 02/07/2017, 11/12/2017","Absolutely amazing, Non-barbecue dishes were run of the mill, "
Le Concert de Cuisine,Paris,"Japanese, Asian",691,45,198,"Nice food, A nice surprise, 12/21/2017, 11/25/2017","Nice food, A nice surprise, "
la Place Royale,Paris,"French, European, Vegetarian Friendly, Vegan Options",692,4,325,"Typically Good French Food, Very Nice, 09/22/2017, 08/08/2017","Typically Good French Food, Very Nice, "
Fratelli,Paris,"Italian, Mediterranean, European, Vegetarian Friendly, Vegan Options",693,45,301,"very nice pizza and wine, Delious and beautiful, 12/27/2017, 12/05/2017","very nice pizza and wine, Delious and beautiful, "
Au Petit Suisse,Paris,"French, Bar, European",694,4,397,"Simple, surprising food and good value to, Lovely food and wine at a reasonable price, 12/30/2017, 11/13/2017","Simple, surprising food and good value to, Lovely food and wine at a reasonable price, "
La Cuisine - Le Royal Monceau,Paris,"Gastropub, French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",695,45,702,"New Years Eve Brunch, Amazing breakfast buffet near Champs Elysé, 01/01/2018, 12/17/2017","New Years Eve Brunch, Amazing breakfast buffet near Champs Elysé, "
La Trattoria Di Gio,Paris,"Italian, Pizza, Mediterranean, Vegetarian Friendly",696,5,72,"Great service and italian food (pasta and, Wonderful service and food, 01/06/2018, 10/18/2017","Great service and italian food (pasta and, Wonderful service and food, "
Brasserie Flo,Paris,"French, Seafood, European",697,4,877,"Keep coming back time and again, An Untouched Interior, 12/30/2017, 12/15/2017","Keep coming back time and again, An Untouched Interior, "
Le Procope,Paris,"French, European, Soups, Vegetarian Friendly",698,4,3603,"Café Gourmande, Historic experience, 01/06/2018, 01/06/2018","Café Gourmande, Historic experience, "
Alain Ducasse au Plaza Athenee,Paris,"French, European, Gluten Free Options",699,45,648,"Fantastic experience, Un voyage culinaire, 01/05/2018, 01/04/2018","Fantastic experience, Un voyage culinaire, "
Bouillon Racine,Paris,"French, European, Gastropub, Vegetarian Friendly",700,4,1429,"a good lunch with friend, but not really s, Fun lunch venue, 01/02/2018, 12/31/2017","a good lunch with friend, but not really s, Fun lunch venue, "
Auberge de la Reine Blanche,Paris,"French, European, Vegetarian Friendly",701,4,489,"Cozy Restaurant with authentic French food, Hearty Meal in the city centre, 01/04/2018, 10/28/2017","Cozy Restaurant with authentic French food, Hearty Meal in the city centre, "
Le Petit Vendome,Paris,"French, European",702,4,343,"Parisian way, Great dinner - only in Paris 3 nights but, 01/04/2018, 09/30/2017","Parisian way, Great dinner - only in Paris 3 nights but, "
La Cave Lanrezac,Paris,"Wine Bar, European",703,45,178,"Dinner with different wine concept, Amazing food & wine, 12/27/2017, 11/23/2017","Dinner with different wine concept, Amazing food & wine, "
La Petite Auberge,Paris,"French, European",704,45,221,"A Happy Accident, Cant remember a better meal, 10/30/2017, 08/18/2017","A Happy Accident, Cant remember a better meal, "
Chez Fernand Christine,Paris,"French, European, Vegetarian Friendly",705,4,892,"Tourist Area, Would go, 12/30/2017, 11/22/2017","Tourist Area, Would go, "
LAssiette,Paris,"French, European",706,45,286,"Superb Cassoulet, Perfect dinner, 12/28/2017, 10/26/2017","Superb Cassoulet, Perfect dinner, "
TCup,Paris,"French, European, British, Vegetarian Friendly, Vegan Options",707,45,150,"Tea A+; Coffee B-; ambiance B+, Beautiful place, 11/19/2017, 11/12/2017","Tea A+; Coffee B-; ambiance B+, Beautiful place, "
Le Bon Bock,Paris,Vegetarian Friendly,708,4,622,"Great food and service in an awesome setti, Really nice restaurant, 12/10/2017, 12/02/2017","Great food and service in an awesome setti, Really nice restaurant, "
Le Recamier,Paris,"French, European, Vegetarian Friendly, Gluten Free Options",709,4,819,"Good saturday lunch, Great time, 12/07/2017, 09/17/2017","Good saturday lunch, Great time, "
Le Pre Sale,Paris,French,710,45,125,"Amazing, Good food in small establishment, 09/03/2017, 07/09/2017","Amazing, Good food in small establishment, "
Les Jardins de Shah Jahan,Paris,"Indian, Vegetarian Friendly, Vegan Options",711,45,165,"Amazing food and service Not too pricey e, Awesome food, 12/31/2017, 11/26/2017","Amazing food and service Not too pricey e, Awesome food, "
Garance,Paris,"French, European, Vegetarian Friendly",712,45,233,"Always an incredible experience, Fantastic, warm and excellent, 12/12/2017, 11/22/2017","Always an incredible experience, Fantastic, warm and excellent, "
LEchoppe de Paris,Paris,"French, American, Bar, European, Vegetarian Friendly",713,45,234,"Great burger joint, Miam miam, 09/24/2017, 08/08/2017","Great burger joint, Miam miam, "
The Place to,Paris,"French, Bar, Fusion, Vegetarian Friendly, Vegan Options, Gluten Free Options",714,4,624,"lively, American Style Restaurant, 12/03/2017, 11/18/2017","lively, American Style Restaurant, "
Restaurant Clementine,Paris,"French, European, Healthy",715,45,245,"Family style French restaurant, Good food, great service, 01/06/2018, 10/02/2017","Family style French restaurant, Good food, great service, "
MEKONG,Paris,"Fast Food, Asian, Vietnamese, Street Food, Delicatessen, Vegetarian Friendly, Vegan Options",716,45,119,"Home-like atmosphere and cuisine, Always good, 11/11/2017, 10/23/2017","Home-like atmosphere and cuisine, Always good, "
Certa,Paris,"French, Bar, European, Vegetarian Friendly, Vegan Options",717,4,313,"Cozy little place, good atmosphere, Nice and cosy local bar/restaurant, 12/12/2017, 11/28/2017","Cozy little place, good atmosphere, Nice and cosy local bar/restaurant, "
Claus,Paris,"French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",718,4,417,"Great Experience, Worth waiting Good tastes Service to be, 12/20/2017, 09/23/2017","Great Experience, Worth waiting Good tastes Service to be, "
LEncrier,Paris,"French, European, Vegetarian Friendly",719,45,280,"French tasty really good and affordable, Good Parisian Food, 11/15/2017, 11/01/2017","French tasty really good and affordable, Good Parisian Food, "
Paris New York,Paris,American,720,4,587,"Dope, Great burger, very small location, not pre, 08/11/2017, 08/09/2017","Dope, Great burger, very small location, not pre, "
Bistrot de la Banque,Paris,"French, European, Vegetarian Friendly",721,45,313,"Made my birthday, Well run bistro with good burgers, 10/16/2017, 10/02/2017","Made my birthday, Well run bistro with good burgers, "
Le Bar a Huitres Saint-Germain,Paris,"French, Seafood, Soups, Gluten Free Options",722,4,1144,"Bon poisson, Good fish dishes, 12/14/2017, 10/30/2017","Bon poisson, Good fish dishes, "
La Forge,Paris,"French, European, Vegetarian Friendly",723,45,302,"Outstanding cuisine, and great ambience, If you only have one meal in Paris, 12/21/2017, 12/06/2017","Outstanding cuisine, and great ambience, If you only have one meal in Paris, "
Chez Alfred Lao Cuisine,Paris,"Asian, Vegetarian Friendly",724,45,121,"Brilliant, Great food, 03/20/2017, 03/13/2017","Brilliant, Great food, "
LArcheste,Paris,French,725,45,68,"Unbelievable, 是非とも！！ Amazing modern French cuisine, 12/13/2017, 09/06/2017","Unbelievable, 是非とも！！ Amazing modern French cuisine, "
LiLi,Paris,"Chinese, Asian, Vegetarian Friendly, Vegan Options",726,4,355,"Bien Fait, Authentic Cantonese Dim Sum, 01/06/2018, 10/14/2017","Bien Fait, Authentic Cantonese Dim Sum, "
Hamlers Burgery,Paris,"American, Fast Food, Vegetarian Friendly",727,45,230,"Very nice burger spot, The only burger I will eat in Paris, 09/23/2017, 08/21/2017","Very nice burger spot, The only burger I will eat in Paris, "
Bistrot des Vosges,Paris,"Delicatessen, Wine Bar, French, European, Vegetarian Friendly",728,45,176,"Good food and service, Good food and friendly service, 11/01/2017, 10/23/2017","Good food and service, Good food and friendly service, "
Chez Gladines,Paris,"French, Vegetarian Friendly",729,4,784,"Why we return again and again   , Good hearty food, 09/20/2017, 08/30/2017","Why we return again and again   , Good hearty food, "
Louie Louie,Paris,"Italian, Pizza, European, Vegetarian Friendly",730,45,166,"Amazing pizza in central Paris, Absolutely perfect, 11/30/2017, 11/11/2017","Amazing pizza in central Paris, Absolutely perfect, "
Le Cochon A LOreille,Paris,French,731,45,160,"Nice small restaurant, Good home cooked food, 11/29/2017, 10/28/2017","Nice small restaurant, Good home cooked food, "
Restaurant Victor,Paris,"French, European",732,45,483,"Great neighborhood restaurant, Good Food Very correct reaction to a comp, 12/31/2017, 12/29/2017","Great neighborhood restaurant, Good Food Very correct reaction to a comp, "
La Ferme St-Simon,Paris,"French, European, Vegetarian Friendly",733,45,299,"Great Location, Lovely local restaurant, 01/02/2018, 12/12/2017","Great Location, Lovely local restaurant, "
La Poulette de Grain,Paris,"French, European",734,4,219,"Bon ambiance, Friendly service and superb breakfast serv, 07/25/2017, 05/28/2017","Bon ambiance, Friendly service and superb breakfast serv, "
Le Louchebem,Paris,"French, Steakhouse, European",735,4,978,"The place to beef, for meat lovers, 12/04/2017, 11/06/2017","The place to beef, for meat lovers, "
Lambre bar,Paris,French,736,5,80,"Great Cocktails, Loved it, 07/11/2017, 05/22/2017","Great Cocktails, Loved it, "
Restaurant du Musee dOrsay,Paris,"French, Vegetarian Friendly",737,4,1105,"Amazing place, Wonderful setting, 01/03/2018, 11/07/2017","Amazing place, Wonderful setting, "
Au rendez-vous de la Marine,Paris,"French, European",738,4,235,"Recommended by hotel receptionist, Lovely place with a good variety and gener, 10/05/2017, 06/17/2017","Recommended by hotel receptionist, Lovely place with a good variety and gener, "
Le Lobby,Paris,"French, European, International, Vegetarian Friendly, Gluten Free Options",739,4,432,"Horrible service, Christmas afternoon tea, 01/01/2018, 12/23/2017","Horrible service, Christmas afternoon tea, "
Le Cafe de Mars,Paris,"Fusion, French, European, Vegetarian Friendly, Vegan Options",740,45,346,"Lovely atmosphere with good eats, A must while in Paris, 11/29/2017, 11/25/2017","Lovely atmosphere with good eats, A must while in Paris, "
Mamie Burger Faubourg Montmartre,Paris,"American, Grill, Vegetarian Friendly",741,4,301,"Great food/ quick service, Great burgers, friendly service, 11/22/2017, 11/21/2017","Great food/ quick service, Great burgers, friendly service, "
Le Point Zero,Paris,"Wine Bar, French, Bar, European, Gastropub",742,45,226,"Very good all round experience, A very pleasant evening, 06/23/2017, 04/27/2017","Very good all round experience, A very pleasant evening, "
LEtoile 1903,Paris,"French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",743,4,523,"Reasonable Price for Paris, Good value, Good Food, 11/12/2017, 10/30/2017","Reasonable Price for Paris, Good value, Good Food, "
Su Misura,Paris,"Italian, Mediterranean, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",744,45,233,"Not expensive and great service, Delicious, 01/05/2018, 01/03/2018","Not expensive and great service, Delicious, "
Le 23 Clauzel,Paris,"French, European",745,4,614,"nice place, dont forget to reserve with th, Good good, friendly service, 11/28/2017, 05/14/2017","nice place, dont forget to reserve with th, Good good, friendly service, "
Mamie Burger Opera,Paris,Vegetarian Friendly,746,4,239,"Very good burgers, Delicious fries outstanding atmosphere :), 12/30/2017, 10/02/2017","Very good burgers, Delicious fries outstanding atmosphere :), "
Hard Rock Cafe Paris,Paris,"American, Central American, Vegetarian Friendly",747,4,2691,"Lavinia was tops, Typical HRC, 01/07/2018, 12/08/2017","Lavinia was tops, Typical HRC, "
La Petite Chaise,Paris,"French, European, Vegetarian Friendly",748,4,562,"Good food, Good Classics, 10/03/2017, 09/15/2017","Good food, Good Classics, "
Brasserie Lola,Paris,"French, Bar, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",749,4,290,"Cosy and tasty, Vegan Brasserie, 11/17/2017, 11/05/2017","Cosy and tasty, Vegan Brasserie, "
Aux Cadrans,Paris,"French, European",750,4,392,"Good food, warm atmosphere, Paris, 01/02/2018, 11/27/2017","Good food, warm atmosphere, Paris, "
Le Bistro du Perigord,Paris,"French, European, Gastropub, Vegetarian Friendly, Gluten Free Options",751,45,371,"Fantastic authentic French cuisine, Perfect first night in Paris, 12/29/2017, 12/07/2017","Fantastic authentic French cuisine, Perfect first night in Paris, "
Le Poulbot,Paris,"French, European, Vegetarian Friendly",752,5,88,"Wonderful and delicious, Don’t go any where else, 01/05/2018, 01/05/2018","Wonderful and delicious, Don’t go any where else, "
Le Chat noir 1881,Paris,"French, Bar, European, Vegetarian Friendly",753,4,673,"Great Happy Hour, Ceiling artwork, 11/20/2017, 11/14/2017","Great Happy Hour, Ceiling artwork, "
ToTon,Paris,"Italian, Mediterranean, European, Vegetarian Friendly",754,5,52,"Kurztrip, great place for real italian food, 11/05/2017, 10/24/2017","Kurztrip, great place for real italian food, "
Pratolina,Paris,"Italian, Pizza, Mediterranean, Vegetarian Friendly",755,45,71,"Great Italian fare in Paris, Wonderful Surprise at Pratolina, 12/06/2017, 09/22/2017","Great Italian fare in Paris, Wonderful Surprise at Pratolina, "
Lengue,Paris,"Japanese, Asian, Vegetarian Friendly",756,45,228,"Very good, The best, 05/28/2017, 05/21/2017","Very good, The best, "
Chez Andre,Paris,"French, European",757,4,1322,"Lovely Dinner, Gorgeous typical French Bistro, 01/07/2018, 01/03/2018","Lovely Dinner, Gorgeous typical French Bistro, "
Firmine,Paris,"Italian, French, Pizza, European, Vegetarian Friendly",758,4,499,"Great it is, Served our purpose, 12/18/2017, 11/23/2017","Great it is, Served our purpose, "
Le Lamarck Paris,Paris,"French, European, Vegetarian Friendly",759,45,127,"Dinner, Hidden gem, 11/26/2017, 11/25/2017","Dinner, Hidden gem, "
Vin et Maree,Paris,"French, Seafood, European",760,4,343,"Good food ans ambiance, Very good seafood, 12/03/2017, 11/13/2017","Good food ans ambiance, Very good seafood, "
LOurs Blanc,Paris,"French, European, Vegetarian Friendly, Vegan Options",761,45,102,"delicious food, Excellent, 11/20/2017, 10/22/2017","delicious food, Excellent, "
Pizza Sarno,Paris,"Italian, Pizza, Vegetarian Friendly",762,4,500,"Nice Italian in Paris, Lovely place and atmosphere, 12/05/2017, 11/19/2017","Nice Italian in Paris, Lovely place and atmosphere, "
La Table du Palais Royal,Paris,"French, European, Vegetarian Friendly",763,4,764,"Enjoyable dinner and nice conversation wit, Lovely owner, lovely food, 10/21/2017, 06/17/2017","Enjoyable dinner and nice conversation wit, Lovely owner, lovely food, "
Les Editeurs,Paris,"French, European, Gastropub, Cafe, Diner, Vegetarian Friendly",764,4,775,"Refined French restaurant, A lively location for good food and people, 01/03/2018, 01/03/2018","Refined French restaurant, A lively location for good food and people, "
Axuria,Paris,"French, European, Vegetarian Friendly",765,45,369,"What a find, Nice discovery, 12/13/2017, 11/20/2017","What a find, Nice discovery, "
LEscapade,Paris,"French, European, Vegetarian Friendly",766,45,186,"Very good Cheeseburger, Surprise surprise, 09/27/2017, 09/20/2017","Very good Cheeseburger, Surprise surprise, "
BMA - Le Bistrot de Maelle et Augustin,Paris,"French, Bar, European",767,4,266,"Great food, Real French bistro, 08/21/2017, 08/12/2017","Great food, Real French bistro, "
